Customer Id,Customer Fname,Customer Lname,Customer City,Customer Country,Customer State,Customer Street,Customer Zipcode,Customer Segment
19446,Taylor,Wood,Dallas,EE. UU.,TX,9879 Harvest Deer Farms,75211.0,Corporate
9083,Mary,Frank,Bayamon,Puerto Rico,PR,75 Sunny Grounds,957.0,Home Office
4741,Mary,Smith,Caguas,Puerto Rico,PR,9731 Honey Fox Towers,725.0,Home Office
639,Elizabeth,Pittman,Caguas,Puerto Rico,PR,7573 Golden Treasure Centre,725.0,Home Office
9702,Katherine,Tyler,Caguas,Puerto Rico,PR,8369 Sunny Crossing,725.0,Home Office
9114,Mary,Smith,Caguas,Puerto Rico,PR,1425 Fallen Fox Arbor,725.0,Home Office
1362,Dennis,Smith,Caguas,Puerto Rico,PR,2290 Crystal Pathway,725.0,Home Office
8011,Mary,Hill,Caguas,Puerto Rico,PR,6179 Noble Panda Moor,725.0,Home Office
3296,Mary,Smith,Caguas,Puerto Rico,PR,8205 Silver Grove Row,725.0,Home Office
3182,Frances,Smith,Caguas,Puerto Rico,PR,7786 Middle Private,725.0,Home Office
7864,Alice,Smith,Caguas,Puerto Rico,PR,4294 High Passage,725.0,Home Office
11169,Kyle,Thomas,Caguas,Puerto Rico,PR,5274 Easy Beach,725.0,Home Office
5197,Brenda,Jordan,Caguas,Puerto Rico,PR,4692 Jagged Thicket,725.0,Home Office
1535,Frank,Livingston,Caguas,Puerto Rico,PR,5161 Crystal Quail Jetty,725.0,Home Office
6122,Johnny,Smith,Caguas,Puerto Rico,PR,1465 Round Fawn Passage,725.0,Home Office
9451,Mary,Smith,Caguas,Puerto Rico,PR,5723 Cinder Loop,725.0,Home Office
542,Mary,Smith,Caguas,Puerto Rico,PR,2991 Silent Deer Landing,725.0,Home Office
11329,Hannah,Smith,Caguas,Puerto Rico,PR,5086 Emerald Fox Farms,725.0,Home Office
3570,Mary,Nelson,Caguas,Puerto Rico,PR,3909 Hidden Treasure Beach,725.0,Home Office
650,Austin,Sexton,Caguas,Puerto Rico,PR,4691 Cinder Crest,725.0,Home Office
9353,Michael,Scott,Caguas,Puerto Rico,PR,5703 Tawny Creek Townline,725.0,Home Office
54,Mary,Olson,Caguas,Puerto Rico,PR,7333 Cinder Way,725.0,Home Office
12151,Vincent,Krueger,Caguas,Puerto Rico,PR,9404 Heather Bluff Dale,725.0,Home Office
10018,Gregory,Rodriguez,Caguas,Puerto Rico,PR,1632 Green Fawn Corners,725.0,Home Office
4936,Kyle,Smith,Caguas,Puerto Rico,PR,8344 Noble Mountain Gate,725.0,Home Office
8707,Lisa,Smith,Caguas,Puerto Rico,PR,7208 Bright Landing,725.0,Home Office
1025,Megan,Todd,Caguas,Puerto Rico,PR,1393 Umber Sky Estates,725.0,Home Office
8831,Mary,Smith,Caguas,Puerto Rico,PR,8165 Red Lane,725.0,Home Office
10679,Mary,Smith,Caguas,Puerto Rico,PR,331 Grand Orchard,725.0,Home Office
5007,Mary,Smith,Caguas,Puerto Rico,PR,2264 Thunder Abbey,725.0,Home Office
9854,Mary,Smith,Caguas,Puerto Rico,PR,9082 Merry Lookout,725.0,Home Office
376,Grace,Sanchez,Caguas,Puerto Rico,PR,6468 Fallen Close,725.0,Home Office
5417,Dennis,Meyer,Caguas,Puerto Rico,PR,7342 Hidden Walk,725.0,Home Office
10759,Douglas,Smith,Caguas,Puerto Rico,PR,577 Rustic Nectar Row,725.0,Home Office
8541,Mary,Smith,Caguas,Puerto Rico,PR,5700 Little Circle,725.0,Home Office
3752,Mary,Vega,Caguas,Puerto Rico,PR,7840 Umber Sky Villas,725.0,Home Office
4673,Wayne,Hodges,Caguas,Puerto Rico,PR,7509 Iron Concession,725.0,Home Office
5367,Mary,Mccormick,Caguas,Puerto Rico,PR,2199 Silver Autumn Key,725.0,Home Office
10485,Mary,Smith,Caguas,Puerto Rico,PR,9470 Shady View Bend,725.0,Home Office
9272,Ronald,Blackwell,Caguas,Puerto Rico,PR,9366 Silent Nectar Highway,725.0,Home Office
647,Mary,Rios,Caguas,Puerto Rico,PR,4167 Stony Extension,725.0,Consumer
6398,Tammy,Smith,Caguas,Puerto Rico,PR,7370 Sleepy Way,725.0,Consumer
4209,Mary,Lara,Caguas,Puerto Rico,PR,1613 Broad Beach,725.0,Consumer
8917,Mary,Smith,Caguas,Puerto Rico,PR,4992 Jagged Forest Subdivision,725.0,Consumer
7784,Mary,Smith,Caguas,Puerto Rico,PR,3216 Red Glade,725.0,Consumer
1425,Christina,Harvey,Caguas,Puerto Rico,PR,3481 Crystal Campus,725.0,Consumer
2737,Mary,Smith,Caguas,Puerto Rico,PR,5424 Rustic Anchor Boulevard,725.0,Consumer
6428,Mary,Smith,Caguas,Puerto Rico,PR,3567 Heather Knoll,725.0,Consumer
6543,Alexander,Smith,Caguas,Puerto Rico,PR,7958 Thunder Apple Street,725.0,Consumer
3990,Sandra,Smith,Guayama,Puerto Rico,PR,6496 Harvest Highlands,784.0,Consumer
8524,Ruth,Farrell,Caguas,Puerto Rico,PR,1453 Lazy Cider Hill,725.0,Consumer
9204,Mary,Harris,Caguas,Puerto Rico,PR,8713 Quaking Abbey,725.0,Consumer
11761,Lauren,Coleman,Caguas,Puerto Rico,PR,1285 Noble Pointe,725.0,Consumer
9554,Mary,Hayes,Caguas,Puerto Rico,PR,6314 Honey Canyon,725.0,Consumer
5118,Mary,Smith,Caguas,Puerto Rico,PR,1388 Blue Turnabout,725.0,Consumer
5506,Gregory,Smith,Caguas,Puerto Rico,PR,1122 Old Fox Lookout,725.0,Consumer
1423,Mary,Day,Caguas,Puerto Rico,PR,257 Iron Elk Maze,725.0,Consumer
138,Mary,Dawson,Caguas,Puerto Rico,PR,9544 Noble Spring Route,725.0,Consumer
6360,Mary,Phillips,Caguas,Puerto Rico,PR,7094 Misty Wynd,725.0,Consumer
2053,Ronald,Smith,Caguas,Puerto Rico,PR,1025 Colonial Plaza,725.0,Consumer
10344,Mary,Smith,Juana Diaz,Puerto Rico,PR,2839 Grand Timber Canyon,795.0,Consumer
3375,Mary,Sanchez,Caguas,Puerto Rico,PR,6174 Wishing Front,725.0,Consumer
1339,Melissa,Mack,Caguas,Puerto Rico,PR,9447 Dusty Gate Centre,725.0,Consumer
7247,Mary,Smith,Caguas,Puerto Rico,PR,6401 Shady Embers Farms,725.0,Consumer
1273,Maria,Evans,Caguas,Puerto Rico,PR,595 Indian Path,725.0,Consumer
6277,Eugene,Smith,Caguas,Puerto Rico,PR,1820 Noble Elk Harbour,725.0,Consumer
7701,James,Lawson,Caguas,Puerto Rico,PR,1577 Green Vista,725.0,Consumer
4126,John,Stokes,Caguas,Puerto Rico,PR,9920 Little Lane,725.0,Consumer
9528,Mary,Flores,Caguas,Puerto Rico,PR,3089 Gentle Horse Chase,725.0,Consumer
1853,Mary,Austin,Caguas,Puerto Rico,PR,4090 Colonial End,725.0,Consumer
11149,Roy,Smith,Caguas,Puerto Rico,PR,4601 Amber Grove Hollow,725.0,Consumer
5828,Katherine,Oconnell,Caguas,Puerto Rico,PR,2127 Middle Goose Mews,725.0,Consumer
6887,Mary,Smith,Caguas,Puerto Rico,PR,8840 Harvest Towers,725.0,Consumer
4781,Janet,Smith,Caguas,Puerto Rico,PR,8617 Cinder Mountain Forest,725.0,Consumer
10668,Mary,Smith,Caguas,Puerto Rico,PR,5087 Crystal Hills Manor,725.0,Consumer
5421,Mary,Carlson,Caguas,Puerto Rico,PR,1548 Lazy Place,725.0,Consumer
10200,Nicole,Smith,Caguas,Puerto Rico,PR,9009 Merry Nectar Heights,725.0,Consumer
11254,Sharon,Smith,Caguas,Puerto Rico,PR,4316 Misty Way,725.0,Consumer
11106,Mary,Navarro,Caguas,Puerto Rico,PR,6324 Lazy Lane,725.0,Consumer
8456,Mary,Smith,Caguas,Puerto Rico,PR,9198 Rocky Run,725.0,Consumer
6149,Matthew,Bush,Caguas,Puerto Rico,PR,5736 Heather Byway,725.0,Consumer
1473,Anthony,Young,Caguas,Puerto Rico,PR,7334 Umber Expressway,725.0,Consumer
1840,Jerry,Smith,Caguas,Puerto Rico,PR,427 Grand Branch Hill,725.0,Consumer
6757,Mary,Freeman,Caguas,Puerto Rico,PR,2035 Lazy Diversion,725.0,Consumer
3972,Laura,Bennett,Caguas,Puerto Rico,PR,4520 Grand Port,725.0,Consumer
9316,Megan,Sanders,Caguas,Puerto Rico,PR,7489 Green End,725.0,Consumer
11213,Mary,Black,Caguas,Puerto Rico,PR,620 Thunder Creek Towers,725.0,Consumer
3474,Jack,Hatfield,Caguas,Puerto Rico,PR,555 Lazy Robin Freeway,725.0,Consumer
14630,Kirestin,Barr,Caguas,Puerto Rico,PR,4722 Round Embers Falls,725.0,Consumer
13256,Nora,Downs,Caguas,Puerto Rico,PR,1836 Cozy View Orchard,725.0,Consumer
14665,Jennifer,Stokes,Caguas,Puerto Rico,PR,5257 Umber Field,725.0,Consumer
13363,Madonna,Ingram,Caguas,Puerto Rico,PR,9079 Dewy Deer Harbour,725.0,Consumer
14645,Noelani,Hyde,Caguas,Puerto Rico,PR,1284 High Apple Highlands,725.0,Consumer
13163,Sydnee,Nolan,Caguas,Puerto Rico,PR,9816 Grand Hills Knoll,725.0,Consumer
14553,Willa,Potter,Caguas,Puerto Rico,PR,5301 Blue Street,725.0,Consumer
14287,Alma,Delgado,Caguas,Puerto Rico,PR,7274 Middle Wynd,725.0,Consumer
13179,Ila,Knight,Caguas,Puerto Rico,PR,2668 Velvet Row ,725.0,Consumer
13035,Belle,Booker,Caguas,Puerto Rico,PR,567 Fallen Pines ,725.0,Consumer
14322,Alyssa,Contreras,Caguas,Puerto Rico,PR,9870 Little Hickory Loop,725.0,Consumer
13196,Lani,Nash,Caguas,Puerto Rico,PR,5763 Green Crossing ,725.0,Consumer
14604,Demetria,Jarvis,Caguas,Puerto Rico,PR,4854 Tawny Cove,725.0,Consumer
12961,Joan,Nixon,Caguas,Puerto Rico,PR,8297 Golden Green ,725.0,Consumer
14676,Gay,Harper,Caguas,Puerto Rico,PR,7293 Lazy Hill,725.0,Consumer
14087,Audrey,Acosta,Caguas,Puerto Rico,PR,8967 Sleepy Lane,725.0,Consumer
13194,Riley,Jones,Caguas,Puerto Rico,PR,6370 Emerald Row ,725.0,Consumer
14513,Imani,Kelly,Caguas,Puerto Rico,PR,3065 Foggy Horse Port,725.0,Consumer
13461,Mechelle,Parker,Caguas,Puerto Rico,PR,1393 Umber Sky Estates,725.0,Consumer
14510,Imani,Castaneda,Caguas,Puerto Rico,PR,5493 Burning Horse Heath,725.0,Consumer
13190,Whitney,Henderson,Caguas,Puerto Rico,PR,529 Blue Grove Rise,725.0,Consumer
14508,Roanna,Martin,Caguas,Puerto Rico,PR,4462 Little Lagoon Route,725.0,Consumer
14472,Vivian,Hays,Caguas,Puerto Rico,PR,9854 Jagged Impasse,725.0,Consumer
14562,Xantha,Brock,Caguas,Puerto Rico,PR,5336 Sleepy Sky Common,725.0,Consumer
13206,Zia,Davis,Caguas,Puerto Rico,PR,3836 Blue Brook Stead,725.0,Consumer
13080,Mara,Duffy,Caguas,Puerto Rico,PR,4896 Honey Wood ,725.0,Consumer
14633,Sloane,Long,Caguas,Puerto Rico,PR,4592 Grand Timber Ramp,725.0,Consumer
14097,Winifred,Alexander,Caguas,Puerto Rico,PR,146 Middle Terrace,725.0,Consumer
13024,Giselle,Farrell,Caguas,Puerto Rico,PR,3710 Little Nook ,725.0,Consumer
778,John,Buckley,Caguas,Puerto Rico,PR,9598 Cinder Close,725.0,Consumer
7146,Nancy,Curry,Caguas,Puerto Rico,PR,6998 Old Treasure Crossing,725.0,Consumer
6365,Mary,Smith,Caguas,Puerto Rico,PR,100 Jagged Cloud Pathway,725.0,Consumer
8422,Wayne,Crawford,Caguas,Puerto Rico,PR,8110 Old Place,725.0,Consumer
3784,Mary,Sharp,Caguas,Puerto Rico,PR,9221 Cotton Butterfly Terrace,725.0,Consumer
10519,Mary,Smith,Caguas,Puerto Rico,PR,4110 Quaking Abbey,725.0,Consumer
7132,David,Guerra,Caguas,Puerto Rico,PR,6574 Shady Horse Wood,725.0,Consumer
3709,Mary,Padilla,Caguas,Puerto Rico,PR,4555 Amber Apple Cape,725.0,Consumer
1509,Patricia,Petersen,Freeport,EE. UU.,NY,3675 Emerald Goose Bank,11520.0,Consumer
1636,Julie,Petersen,Fort Washington,EE. UU.,MD,9375 Harvest Circuit,20744.0,Consumer
2784,Lisa,Smith,Bakersfield,EE. UU.,CA,3993 Thunder Hills Port,93304.0,Consumer
9174,Tyler,Smith,Corona,EE. UU.,NY,9414 Thunder Island Court,11368.0,Consumer
122,Karen,Smith,Cincinnati,EE. UU.,OH,7573 Cozy Goose Road,45238.0,Consumer
3800,Shawn,Smith,Germantown,EE. UU.,MD,5985 Silent Leaf Vale,20874.0,Consumer
10029,Mary,Silva,Carrollton,EE. UU.,TX,1230 Crystal Lookout,75006.0,Consumer
2805,Willie,Smith,Houston,EE. UU.,TX,6350 Lost Hollow,77093.0,Consumer
12253,Mary,Chan,Carlisle,EE. UU.,PA,4898 Red Butterfly Autoroute,17013.0,Consumer
3528,Nicole,Brooks,Los Angeles,EE. UU.,CA,7312 Crystal Willow Villas,90023.0,Consumer
11018,Bruce,Smith,Ewa Beach,EE. UU.,HI,9595 Blue Promenade,96706.0,Consumer
3222,Mary,Williams,Lakewood,EE. UU.,NJ,1790 Noble Brook Run,8701.0,Consumer
6246,Melissa,Ramirez,Rome,EE. UU.,NY,2459 Round Spring Towers,13440.0,Consumer
8741,Gregory,Smith,Vista,EE. UU.,CA,690 Colonial Pine Passage,92083.0,Consumer
8050,Elizabeth,Smith,Fort Worth,EE. UU.,TX,739 Jagged Goose Street,76106.0,Consumer
5474,Mary,Sanchez,Fond Du Lac,EE. UU.,WI,29 Gentle Spring Mews,54935.0,Consumer
474,Mary,Patton,Philadelphia,EE. UU.,PA,5532 Tawny Pines,19139.0,Consumer
12255,Mary,Davis,Ontario,EE. UU.,CA,4502 Hazy Run,91764.0,Consumer
10288,Mark,Smith,Oviedo,EE. UU.,FL,6026 Stony Elk Hill,32765.0,Consumer
4717,Mary,Sanders,Buffalo,EE. UU.,NY,4903 Lazy Parkway,14221.0,Consumer
4799,Paul,Jensen,Honolulu,EE. UU.,HI,3902 Foggy Swale,96822.0,Consumer
4533,Walter,Chavez,Oceanside,EE. UU.,CA,990 Dewy Crest,92056.0,Consumer
12383,Joyce,Phillips,North Tonawanda,EE. UU.,NY,9899 Hazy Falls,14120.0,Consumer
3518,Daniel,Smith,Clovis,EE. UU.,CA,7449 Merry Chase,93611.0,Consumer
4674,Mary,Lynn,Jamaica,EE. UU.,NY,7694 Velvet Turnabout,11434.0,Consumer
8519,Pamela,Michael,Granite City,EE. UU.,IL,1585 Stony Rabbit Hollow,62040.0,Consumer
5302,Betty,Smith,Medford,EE. UU.,MA,2289 Cozy Promenade,2155.0,Consumer
3594,Mary,Smith,Pomona,EE. UU.,CA,830 Clear Sky Vale,91766.0,Consumer
9890,Christian,Luna,Tempe,EE. UU.,AZ,2833 Clear Valley,85281.0,Consumer
1410,Mary,Smith,Santa Ana,EE. UU.,CA,4682 Cozy Freeway,92703.0,Consumer
7521,Mary,Ortega,York,EE. UU.,PA,4196 Noble Beacon Mews,17402.0,Consumer
2106,Mary,Grimes,Aurora,EE. UU.,CO,231 Bright Alley,80010.0,Consumer
8144,Mary,Summers,Simi Valley,EE. UU.,CA,3926 Stony Gardens,93065.0,Consumer
5643,Tiffany,Caldwell,Silver Spring,EE. UU.,MD,3632 Fallen Pioneer Isle,20904.0,Consumer
2041,Paul,Garcia,Saint Paul,EE. UU.,MN,1070 Dusty Beacon Maze,55124.0,Consumer
7537,Stephen,Lee,San Antonio,EE. UU.,TX,469 Crystal Anchor Mountain,78201.0,Consumer
3056,George,Middleton,Philadelphia,EE. UU.,PA,3601 Cozy Creek Trail,19143.0,Consumer
7967,Samuel,Jones,Philadelphia,EE. UU.,PA,7007 Quiet Via,19149.0,Consumer
1758,Larry,King,Bronx,EE. UU.,NY,2515 Burning Boulevard,10466.0,Consumer
7884,Peter,Smith,Greenville,EE. UU.,NC,2127 Cozy Deer Bank,27858.0,Corporate
289,Diana,Richards,Morristown,EE. UU.,NJ,3593 Easy Embers Field,7960.0,Corporate
10081,Mary,Castillo,San Diego,EE. UU.,CA,9900 Hidden Rise Downs,92115.0,Corporate
1169,Mary,Smith,Oxnard,EE. UU.,CA,1055 Crystal Woods,93030.0,Corporate
1182,Mary,Smith,Miami,EE. UU.,FL,5365 Tawny Apple Limits,33147.0,Corporate
717,Mary,Camacho,Albuquerque,EE. UU.,NM,4845 Thunder Embers Hollow,87111.0,Corporate
20423,Ainsley,Leach,Amarillo,EE. UU.,TX,5154 Honey Bend,79109.0,Corporate
5801,Theresa,Pearson,Lutz,EE. UU.,FL,6715 Gentle Horse Row,33549.0,Corporate
702,Cynthia,Smith,Bend,EE. UU.,OR,6412 Crystal View Townline,97701.0,Corporate
6951,Mary,Williams,East Brunswick,EE. UU.,NJ,263 Harvest Wood,8816.0,Corporate
6780,Sean,Chung,Lancaster,EE. UU.,SC,7111 Cotton Blossom Estates,29720.0,Corporate
6422,Jonathan,Richmond,Ontario,EE. UU.,CA,3005 Bright Maze,91762.0,Corporate
5384,Christopher,Smith,Houston,EE. UU.,TX,5657 Lost Expressway,77015.0,Corporate
2985,Donald,Price,Hampton,EE. UU.,VA,183 Velvet Grove Towers,23666.0,Corporate
18349,Rana,Moreno,New York,EE. UU.,NY,2275 Rustic Impasse,10016.0,Corporate
11286,Mary,Garcia,Porterville,EE. UU.,CA,8279 Bright Fox Highway,93257.0,Corporate
489,William,Smith,Portland,EE. UU.,OR,2792 Middle Mount,97223.0,Corporate
4510,Rachel,Cochran,Strongsville,EE. UU.,OH,6414 Jagged Sky Gardens,44136.0,Corporate
9626,Dorothy,Frye,El Paso,EE. UU.,TX,4849 Clear Blossom Turnabout,79927.0,Corporate
9494,Robert,Gilmore,Del Rio,EE. UU.,TX,8248 Clear Glade,78840.0,Corporate
1718,Mary,Smith,Buffalo,EE. UU.,NY,4606 Umber Range,14221.0,Corporate
5295,Mary,Williams,Bountiful,EE. UU.,UT,2058 Quaking Oak Common,84010.0,Corporate
3984,Brenda,Webster,Kent,EE. UU.,WA,5131 Gentle Limits,98031.0,Corporate
5270,Andrea,Johnson,Chicago,EE. UU.,IL,9595 Iron Orchard,60620.0,Corporate
10966,Martha,Pierce,Plymouth,EE. UU.,MA,6797 Quiet Mountain Rise,2360.0,Corporate
1868,Mary,Riddle,Far Rockaway,EE. UU.,NY,340 Velvet Barn Gate,11691.0,Corporate
17446,Freya,Golden,Houston,EE. UU.,TX,569 Hazy Wynd,77088.0,Corporate
10071,Mary,Lawrence,Philadelphia,EE. UU.,PA,5768 Jagged Zephyr Port,19124.0,Corporate
1271,Carolyn,Shea,Simi Valley,EE. UU.,CA,1021 Silver Log Cape,93065.0,Corporate
11930,Mary,Gilbert,Detroit,EE. UU.,MI,2002 Noble Crescent,48227.0,Corporate
20529,Lynn,Sweeney,Garden Grove,EE. UU.,CA,7262 Emerald Boulevard,92840.0,Corporate
8358,Mary,Smith,San Diego,EE. UU.,CA,9176 Shady Barn Jetty,92105.0,Corporate
7705,Julia,Robinson,Chicago,EE. UU.,IL,3670 Broad Mountain Link,60609.0,Corporate
17392,Patience,Ward,Placentia,EE. UU.,CA,7126 Hazy Berry Mount,92870.0,Corporate
18276,Cheryl,Koch,San Jose,EE. UU.,CA,4845 Thunder Embers Hollow,95148.0,Corporate
7795,Sandra,Smith,Honolulu,EE. UU.,HI,1134 Misty River Woods,96822.0,Corporate
20655,Whitney,Collins,Mentor,EE. UU.,OH,5808 Silver Rise Circuit,44060.0,Corporate
2454,Kyle,Curtis,Santa Clara,EE. UU.,CA,3180 Golden Cider Circle,95051.0,Corporate
150,Mary,Smith,Union,EE. UU.,NJ,5593 Indian Trail,7083.0,Corporate
10671,Timothy,Moses,Long Beach,EE. UU.,CA,1987 Grand Alley,90805.0,Corporate
11924,Mary,Ramos,Westminster,EE. UU.,CA,4463 Cotton Quail Forest,92683.0,Corporate
16086,Aimee,Terrell,Pompano Beach,EE. UU.,FL,5875 Grand Campus,33068.0,Corporate
4398,Mary,Yoder,Azusa,EE. UU.,CA,1010 Rustic Fox View,91702.0,Consumer
5687,Mary,Chapman,Fort Lauderdale,EE. UU.,FL,1430 Easy Spring Key,33324.0,Consumer
8534,Mary,Rose,San Antonio,EE. UU.,TX,3050 Crystal Fawn Green,78201.0,Consumer
3372,Virginia,Smith,Princeton,EE. UU.,NJ,3139 Golden Autumn Byway,8540.0,Consumer
10927,Jessica,Lang,Perth Amboy,EE. UU.,NJ,3356 Crystal Farm,8861.0,Consumer
3597,Margaret,Smith,Miami,EE. UU.,FL,8473 Crystal Hickory Path,33162.0,Consumer
2052,Mary,Anthony,Loveland,EE. UU.,OH,874 Thunder Front,45140.0,Consumer
4399,Richard,Smith,Virginia Beach,EE. UU.,VA,9627 Little Terrace,23455.0,Consumer
185,Deborah,Smith,Louisville,EE. UU.,KY,9295 Emerald Downs,40214.0,Consumer
3441,Emma,Russell,Lockport,EE. UU.,NY,8400 Clear Wagon  Row,14094.0,Consumer
11947,Mary,Smith,Chicago,EE. UU.,IL,5420 Crystal Hill,60608.0,Consumer
1555,Adam,Smith,Staten Island,EE. UU.,NY,4047 Grand Port,10314.0,Consumer
9399,Mary,Bennett,Tucson,EE. UU.,AZ,6575 Quiet Loop,85719.0,Consumer
2792,Roy,Carey,Plymouth,EE. UU.,MA,4317 Emerald Bay,2360.0,Consumer
10118,Mary,Reynolds,Cleveland,EE. UU.,OH,5325 Amber Blossom Way,44120.0,Consumer
8544,Sarah,Smith,Bronx,EE. UU.,NY,3065 Foggy Horse Port,10458.0,Consumer
4296,Edward,Sanchez,Webster,EE. UU.,NY,3867 Middle Leaf By-pass,14580.0,Consumer
4391,Harry,Smith,Stockton,EE. UU.,CA,6332 Round Range,95207.0,Consumer
2882,Mary,Decker,Amarillo,EE. UU.,TX,6826 Quiet Lane,79109.0,Consumer
3283,Charles,Ramos,Martinsburg,EE. UU.,WV,3882 Golden Maze,25401.0,Consumer
397,Mary,Delgado,Cumberland,EE. UU.,MD,1102 Misty Rabbit Alley,21502.0,Consumer
4104,Debra,Butler,Pekin,EE. UU.,IL,8581 Blue Crescent,61554.0,Consumer
12214,Jennifer,Summers,Tallahassee,EE. UU.,FL,2749 Emerald Glen,32308.0,Consumer
10699,Mary,Lee,Jacksonville,EE. UU.,FL,7320 Wishing Rise Mall ,32225.0,Consumer
2091,Doris,Smith,Woonsocket,EE. UU.,RI,3087 Hazy Glen,2895.0,Consumer
10474,Benjamin,Case,Stockton,EE. UU.,CA,125 Easy Lake Close,95206.0,Consumer
7504,Stephanie,Smith,Lithonia,EE. UU.,GA,4263 Cozy Embers Ledge,30058.0,Consumer
7518,Mary,Padilla,Oak Lawn,EE. UU.,IL,9725 Cotton Forest,60453.0,Consumer
